trial type mov.direction cursor.rotation selector_angle selector_prop max_vel vmax_x vmax_y final_x final_y movement_overshoot overshoot_answer timestamp
1 active 0 0.0 nan nan 0.2581413960049443 -0.021351088141666114 -0.0041735685148184265 -0.02128588873695208 0.0876626911064402 nan nan 1626982087.4735398
2 active 0 -0.4 nan nan 0.34873121768001886 -0.02250337891531448 0.015697294255693106 -0.023506060743035673 0.08711415251329668 nan nan 1626982093.780162
3 active 0 -0.8 nan nan 0.35289151227801696 -0.01983255210806854 0.024054649651549798 -0.014422142761247501 0.09959867776220965 nan nan 1626982100.1773562
4 active 0 -1.2 nan nan 0.34745581309582513 -0.02406862912233966 0.002081292716722527 -0.01655661649298159 0.10049743483252427 nan nan 1626982106.4111085
5 active 0 -1.6 nan nan 0.3243096966773635 -0.020384067163668067 0.025258889143550123 -0.02199436962965062 0.08733395704339642 nan nan 1626982112.4791465
6 active 0 -2.0 nan nan 0.3024475920681891 -0.02684747884838101 0.004382258507169556 -0.024008455465615117 0.09476225450775289 nan nan 1626982118.7281592
7 active 0 -2.4 nan nan 0.33256893706131196 -0.026009424452952536 -0.0022514687610508677 -0.02547443052532229 0.08473596643422754 nan nan 1626982125.047625
8 active 0 nan nan nan 0.3783573020395102 -0.02857422489332743 0.02608252269606348 -0.026533172310466976 0.10633934865279299 nan nan 1626982131.4169765
9 active 0 -3.2 nan nan 0.3249184076859823 -0.02365954086790849 0.009793179468100766 -0.0317336392283883 0.09605534449636077 nan nan 1626982137.478066
10 active 0 -3.6 nan nan 0.32504033976837887 -0.021099243936126156 0.00962949003915825 -0.026041174889477593 0.08913894732824479 nan nan 1626982143.80813
11 active 0 -4.0 nan nan 0.3285861353543056 -0.021961173366486383 0.00806354915352081 -0.02874308041307983 0.0902902829334381 nan nan 1626982149.8797169
12 active 0 -4.4 nan nan 0.3642657514899982 -0.027731677316787943 0.008073010175827955 -0.026448096140961632 0.09182080233380085 nan nan 1626982156.0974944
13 active 0 -4.8 nan nan 0.32101298653482047 -0.03357978777931464 0.03892145611605358 -0.02803701736772127 0.09536681172003869 nan nan 1626982162.0868495
14 active 0 -5.2 nan nan 0.36595183693820016 -0.028923365532011674 0.016886179749042607 -0.02588168612673071 0.09868469106730793 nan nan 1626982168.5575106
15 active 0 nan nan nan 0.2922592911237948 -0.03171666661063057 -0.0026350207896563838 -0.04257977516464521 0.10153178545633629 nan nan 1626982174.976715
16 active 0 -6.0 nan nan 0.3322826200421706 -0.026444767776384884 0.003768447236735417 -0.031611623556152074 0.09038820436703698 nan nan 1626982181.1772192
17 active 0 -6.4 nan nan 0.3699378718338871 -0.026657783909921146 0.0123568453639884 -0.03326199900929222 0.09507034620597732 nan nan 1626982187.2680323
18 active 0 -6.8 nan nan 0.3405672052990447 -0.027049229337314507 0.006148137024409639 -0.032945045070051505 0.09104838930154602 nan nan 1626982193.3298821
19 active 0 -7.2 nan nan 0.3659988758367407 -0.028028846455661317 0.016842497940968593 -0.03997536941445383 0.10640742985167567 nan nan 1626982199.7838168
20 active 0 -7.6 nan nan 0.3231644007611728 -0.035766774771945814 0.014313468129308116 -0.04152343455827062 0.10275035689241935 nan nan 1626982206.0191689
21 active 0 -8.0 nan nan 0.36497293336594455 -0.030054292315328485 0.002484418879297401 -0.03358897175135889 0.09440616891513987 nan nan 1626982212.2632418
22 active 0 -8.4 nan nan 0.3372218852900447 -0.030840122605360454 0.007561833849939248 -0.04446074090810344 0.09481233234336917 nan nan 1626982218.2834826
23 active 0 nan nan nan 0.2977175528973953 -0.03555099057098475 0.03167910121602069 -0.03864634749102268 0.0923503260746632 nan nan 1626982224.457922
24 active 0 -9.2 nan nan 0.3129490510193288 -0.0318046562174193 0.0047257649987684225 -0.042541454763489764 0.09003175463328328 nan nan 1626982230.883493
25 active 0 -9.6 nan nan 0.35217056934738905 -0.028932882365701264 0.012431047850474553 -0.0339105747717533 0.08902580217768208 nan nan 1626982237.0845838
26 active 0 -10.0 nan nan 0.337277283936149 -0.030242886924854655 0.012129453000671808 -0.042674154495516786 0.1019393668483129 nan nan 1626982243.173468
27 active 0 -10.4 nan nan 0.3377221629772766 -0.032859848617014596 0.0006184685744999863 -0.04650725109029542 0.09622622235786527 nan nan 1626982249.3646395
28 active 0 -10.8 nan nan 0.3692777518556884 -0.0338176967183996 0.018831001938585668 -0.04812518230400482 0.09431686407991446 nan nan 1626982255.46675
29 active 0 -11.2 nan nan 0.3666097997314133 -0.032871451736081386 0.003459427125013126 -0.04800090342004865 0.08788948827024679 nan nan 1626982261.9352129
30 active 0 -11.6 nan nan 0.3257770630382862 -0.03427171973195877 0.009580952515565788 -0.0536587040501661 0.08935143861812034 nan nan 1626982268.1601956
31 active 0 nan nan nan 0.33902769103070024 -0.03714610231745193 0.017083362918022926 -0.05074657908578696 0.08890985236807336 nan nan 1626982274.659564
32 active 0 -12.4 nan nan 0.30432202154872645 -0.03515965931124831 0.01093358662353805 -0.057702133175331134 0.08608525336972994 nan nan 1626982280.98854
33 active 0 -12.8 nan nan 0.3308576403113273 -0.026175276028330245 0.004418562564281303 -0.05306217188129804 0.09303994828926576 nan nan 1626982287.4153025
34 active 0 -13.2 nan nan 0.36701308117497616 -0.0376594187894037 0.018898941078945408 -0.056774009494789356 0.09423772031152688 nan nan 1626982293.7265048
35 active 0 -13.6 nan nan 0.3541736116170042 -0.04480395376701675 0.034762128408733384 -0.05177842730755481 0.10425969402894603 nan nan 1626982299.9184413
36 active 0 -14.0 nan nan 0.3361985290408394 -0.035666919870355446 0.0027931673234574683 -0.05623024107963888 0.08847560362502893 nan nan 1626982306.253811
37 active 0 -14.4 nan nan 0.3168973796210129 -0.03832575804372303 0.019717244262783873 -0.05572285858394918 0.08780826857281498 nan nan 1626982312.479608
38 active 0 -14.8 nan nan 0.3415430634626384 -0.03441277082630553 0.02088786599424708 -0.057128589115336435 0.08699178163504051 nan nan 1626982318.7071836
39 active 0 -15.2 nan nan 0.33085426140109336 -0.04324919860880644 0.01858099545280567 -0.05859767537815429 0.08780521523603557 nan nan 1626982325.2530494
40 active 0 -15.6 nan nan 0.3328990680437973 -0.03757787637674355 0.01576796487035148 -0.06305449191861719 0.08549168755201197 nan nan 1626982331.4810867
41 active 0 nan nan nan 0.31368781307249044 -0.03826697893117514 -0.0017943275439370465 -0.06244321255610329 0.08527338739792845 nan nan 1626982337.739541
42 active 0 -16.4 nan nan 0.3449353645508896 -0.03780957265867246 0.010597207494366101 -0.06306153398361451 0.08923672455318421 nan nan 1626982344.0640924
43 active 0 -16.8 nan nan 0.30094268568931576 -0.0401207135258684 0.003671384352337048 -0.06188697610620425 0.08765204949446803 nan nan 1626982350.236272
44 active 0 -17.2 nan nan 0.35098216570068846 -0.044118322262383394 0.01481624851351293 -0.0671006736592092 0.08917428969791985 nan nan 1626982356.4319296
45 active 0 -17.6 nan nan 0.32589189601715673 -0.039063238211078675 -0.00197333278136691 -0.06375121055317236 0.08148602772136937 nan nan 1626982362.609265
46 active 0 -18.0 nan nan 0.3515364231553821 -0.037589218387566924 0.0026135409360658057 -0.06954561678827792 0.08722927424168381 nan nan 1626982368.9941819
47 active 0 -18.4 nan nan 0.32397583877552405 -0.038970146949863234 0.00794124509732197 -0.07002957164567111 0.08495507618204012 nan nan 1626982375.096836
48 active 0 -18.8 nan nan 0.3262220137565393 -0.038720805187700574 0.001628622264438384 -0.06343876387985017 0.0878778948621175 nan nan 1626982381.2363904
49 active 0 -19.2 nan nan 0.34676499739910965 -0.04093264115657529 0.012208547933772018 -0.07148393253269524 0.0878925148815265 nan nan 1626982387.382359
50 active 0 -19.6 nan nan 0.2816826724000375 -0.05448894414887781 0.023751055664147924 -0.06946756410601192 0.08840830103084285 nan nan 1626982393.6416996
51 active 0 -20.0 nan nan 0.3426205956294109 -0.04834735153330055 0.006238915161499992 -0.06594417884708083 0.08297981856734149 nan nan 1626982400.1295755
